model,dataset,method,batch_size,lr,wd,momentum,epochs,scheduler,seed,wd_sched,exp,sum_lr,best_test_acc,final_test_acc,final_train_loss,final_train_acc,final_test_loss,diverged,epochs_run,wall_time
resnet18,cifar100,SGDM,128,10.0,0.0,0.9,15,const,42,fixed,e3,3910.0,1.0,1.0,nan,1.004,nan,1,1,55.1
resnet18,cifar100,SGDM,128,20.0,0.0,0.9,15,const,42,fixed,e3,7820.0,1.0,1.0,nan,1.002,nan,1,1,60.4
resnet18,cifar100,SGD+WD,128,0.8,0.5,0.0,15,const,42,fixed,e3,4692.000000000001,1.0,1.0,4.60520734375,1.014,4.605221437835693,0,15,340.9
resnet18,cifar100,SGD+WD,128,0.2,0.5,0.0,15,const,42,fixed,e3,1173.0000000000002,1.0,1.0,4.605190468444825,0.928,4.6051795959472654,0,15,343.7
resnet18,cifar100,SGD+WD,128,10.0,0.1,0.0,15,const,42,fixed,e3,58650.0,1.0,1.0,4.609405390625,0.958,4.610842500305176,0,15,368.2
resnet18,cifar100,SGD+WD,128,0.05,0.5,0.0,15,const,42,fixed,e3,293.25000000000006,1.0,1.0,4.605211640472412,0.914,4.605171939849853,0,15,369.9
resnet18,cifar100,SGD+WD,128,0.2,1.0,0.0,15,const,42,fixed,e3,1173.0000000000002,1.0,1.0,4.605171797027588,0.968,4.6051757034301755,0,15,335.8
resnet18,cifar100,SGD+WD,128,0.05,1.0,0.0,15,const,42,fixed,e3,293.25000000000006,1.0,1.0,4.605182812652588,0.926,4.60517146987915,0,15,360.8
resnet18,cifar100,SGDM+WD,128,3.0,0.001,0.9,15,const,42,fixed,e3,1173.0,1.0,1.0,nan,1.01,nan,1,1,53.2
resnet18,cifar100,SGD+WD,128,0.8,1.0,0.0,15,const,42,fixed,e3,4692.000000000001,1.0,1.0,4.6051110153198245,0.976,4.605206631469726,0,15,364.2
resnet18,cifar100,SGDM+WD,128,10.0,0.001,0.9,15,const,42,fixed,e3,3910.0,1.0,1.0,nan,1.004,nan,1,1,55.8
resnet18,cifar100,SGDM+WD,128,20.0,0.001,0.9,15,const,42,fixed,e3,7820.0,1.0,1.0,nan,1.004,nan,1,1,56.0
resnet18,cifar100,SGDM,128,0.8,0.0,0.9,15,const,42,fixed,e3,4692.000000000001,42.37,42.37,2.143741952552795,42.774,2.21001676940918,0,15,339.4
resnet18,cifar100,SGDM,128,0.05,0.0,0.9,15,const,42,fixed,e3,293.25000000000006,64.49,64.49,0.7782770552253723,75.842,1.3235727737426757,0,15,381.1
resnet18,cifar100,SGDM,128,0.2,0.0,0.9,15,const,42,fixed,e3,1173.0000000000002,60.87,60.87,0.8722707550811768,73.62,1.5461389560699463,0,15,382.2
resnet18,cifar100,SGDM+WD,128,3.0,0.01,0.9,15,const,42,fixed,e3,1173.0,1.0,1.0,nan,1.014,nan,1,1,53.8
resnet18,cifar100,SGDM+WD,128,10.0,0.01,0.9,15,const,42,fixed,e3,3910.0,1.0,1.0,nan,1.004,nan,1,1,47.5
resnet18,cifar100,SGDM+WD,128,20.0,0.01,0.9,15,const,42,fixed,e3,7820.0,1.0,1.0,nan,1.004,nan,1,1,47.1
resnet18,cifar100,SGDM+WD,128,0.05,0.001,0.9,15,const,42,fixed,e3,293.25000000000006,55.27,53.93,1.2737151674652099,63.42,1.690537609100342,0,15,322.9
resnet18,cifar100,SGDM+WD,128,3.0,0.05,0.9,15,const,42,fixed,e3,1173.0,1.0,1.0,nan,1.0,nan,1,1,46.1
resnet18,cifar100,SGDM+WD,128,10.0,0.05,0.9,15,const,42,fixed,e3,3910.0,1.0,1.0,nan,0.998,nan,1,1,51.9
resnet18,cifar100,SGDM+WD,128,20.0,0.05,0.9,15,const,42,fixed,e3,7820.0,1.0,1.0,nan,0.994,nan,1,1,51.4
resnet18,cifar100,SGDM+WD,128,0.2,0.001,0.9,15,const,42,fixed,e3,1173.0000000000002,38.71,38.71,2.1098727480316164,43.272,2.363489091491699,0,15,325.9
resnet18,cifar100,SGDM+WD,128,3.0,0.1,0.9,15,const,42,fixed,e3,1173.0,1.0,1.0,nan,1.016,nan,1,1,60.1
resnet18,cifar100,SGDM+WD,128,0.2,0.01,0.9,15,const,42,fixed,e3,1173.0000000000002,3.96,1.79,4.453300878753662,2.444,4.5880148864746095,0,15,240.5
resnet18,cifar100,SGDM+WD,128,10.0,0.1,0.9,15,const,42,fixed,e3,3910.0,1.0,1.0,nan,1.0,nan,1,1,55.6
resnet18,cifar100,SGDM+WD,128,20.0,0.1,0.9,15,const,42,fixed,e3,7820.0,1.0,1.0,nan,1.004,nan,1,1,53.3
resnet18,cifar100,SGDM+WD,128,0.8,0.001,0.9,15,const,42,fixed,e3,4692.000000000001,6.9,6.15,3.997016728515625,7.626,4.3492998657226565,0,15,341.6
resnet18,cifar100,SGDM+WD,128,0.05,0.01,0.9,15,const,42,fixed,e3,293.25000000000006,21.99,21.99,2.851529713745117,27.596,3.0947785972595216,0,15,341.0
resnet18,cifar100,SGDM+WD,128,3.0,0.5,0.9,15,const,42,fixed,e3,1173.0,1.0,1.0,nan,1.01,nan,1,1,54.5
resnet18,cifar100,SGDM+WD,128,0.8,0.01,0.9,15,const,42,fixed,e3,4692.000000000001,1.43,1.0,4.613064218597412,1.006,4.613523640441895,0,15,343.7
resnet18,cifar100,SGDM+WD,128,0.05,0.05,0.9,15,const,42,fixed,e3,293.25000000000006,2.68,1.27,4.514284658050537,2.154,4.609218156433106,0,15,308.5
resnet18,cifar100,SGDM+WD,128,10.0,0.5,0.9,15,const,42,fixed,e3,3910.0,1.0,1.0,nan,1.008,nan,1,1,50.4
resnet18,cifar100,SGDM+WD,128,20.0,0.5,0.9,15,const,42,fixed,e3,7820.0,1.0,1.0,nan,1.004,nan,1,1,53.3
resnet18,cifar100,SGDM+WD,128,0.2,0.05,0.9,15,const,42,fixed,e3,1173.0000000000002,1.0,1.0,4.605907422027588,1.012,4.605867376708984,0,15,357.2
resnet18,cifar100,SGDM+WD,128,0.8,0.05,0.9,15,const,42,fixed,e3,4692.000000000001,1.0,1.0,4.608136015472412,0.954,4.607436840820313,0,15,359.2
resnet18,cifar100,SGDM+WD,128,3.0,1.0,0.9,15,const,42,fixed,e3,1173.0,1.0,1.0,nan,0.994,nan,1,1,59.3
resnet18,cifar100,SGDM+WD,128,10.0,1.0,0.9,15,const,42,fixed,e3,3910.0,1.0,1.0,nan,1.002,nan,1,1,58.6
resnet18,cifar100,SGDM+WD,128,20.0,1.0,0.9,15,const,42,fixed,e3,7820.0,1.0,1.0,nan,1.004,nan,1,1,60.5
resnet18,cifar100,SGDM+WD,128,0.8,0.1,0.9,15,const,42,fixed,e3,4692.000000000001,1.0,1.0,4.6068942184448245,0.996,4.6067400100708005,0,15,361.9
resnet18,cifar100,SGDM+WD,128,0.05,0.1,0.9,15,const,42,fixed,e3,293.25000000000006,1.0,1.0,4.605358828277588,0.976,4.60526742401123,0,15,385.1
resnet18,cifar100,SGDM+WD,128,0.2,0.1,0.9,15,const,42,fixed,e3,1173.0000000000002,1.0,1.0,4.605555625152588,1.0,4.605519117736816,0,15,384.8
resnet18,cifar100,SGDM+WD,128,0.2,0.5,0.9,15,const,42,fixed,e3,1173.0000000000002,1.0,1.0,4.605268124847412,0.954,4.605256875610351,0,15,322.0
resnet18,cifar100,SGDM+WD,128,0.05,0.5,0.9,15,const,42,fixed,e3,293.25000000000006,1.0,1.0,4.605196796569825,0.986,4.605187936401367,0,15,363.6
resnet18,cifar100,SGDM+WD,128,0.8,0.5,0.9,15,const,42,fixed,e3,4692.000000000001,1.0,1.0,4.605461952972412,1.03,4.605582062530518,0,15,359.5
resnet18,cifar100,SGDM+WD,128,0.05,1.0,0.9,15,const,42,fixed,e3,293.25000000000006,1.0,1.0,4.605191250305176,0.968,4.605178720092773,0,15,304.5
resnet18,cifar100,SGDM+WD,128,0.2,1.0,0.9,15,const,42,fixed,e3,1173.0000000000002,1.0,1.0,4.605213203277588,1.016,4.60520816192627,0,15,291.3
resnet18,cifar100,SGDM+WD,128,0.8,1.0,0.9,15,const,42,fixed,e3,4692.000000000001,1.0,1.0,4.60532140625,0.96,4.605389114379883,0,15,289.6
resnet18,cifar100,SGD,128,14.142136,0.0,0.0,15,const,42,fixed,e3,5529.575176,1.0,1.0,nan,1.004,nan,1,1,48.1
resnet18,cifar100,SGD+WD,128,0.1,0.1,0.0,15,const,42,fixed,e3,586.5000000000001,3.45,1.0,4.6052995315551755,0.964,4.6051830924987796,0,15,214.4
resnet18,cifar100,SGDM,128,1.549193,0.0,0.9,15,const,42,fixed,e3,9086.016945,1.01,1.0,4.635532773284912,1.016,4.638128215026856,0,15,333.6
resnet18,cifar100,SGDM+WD,128,0.1,0.01,0.9,15,const,42,fixed,e3,586.5000000000001,7.46,5.12,3.72348160446167,11.602,4.522686507415772,0,15,334.3
resnet18,cifar100,SGD+WD,128,1.549193,0.01,0.0,15,const,42,fixed,e3,9086.016945,3.12,1.0,4.607134609069824,0.902,4.606804316711425,0,15,334.8
resnet18,cifar100,SGD+WD,128,5.477226,0.001,0.0,15,const,42,fixed,e3,32123.93049000001,11.06,8.53,3.359997378692627,17.796,5.253831010437012,0,15,346.1
