model,dataset,method,batch_size,lr,wd,momentum,epochs,scheduler,seed,wd_sched,exp,sum_lr,best_test_acc,final_test_acc,final_train_loss,final_train_acc,final_test_loss,diverged,epochs_run,wall_time
resnet34,cifar100,SGDM+WD,128,0.1,0.002126,0.9,100,cosine,42,linear,e12_matched,1974.55,76.31,76.25,0.0107727149063348,99.848,1.0578201606750488,0,100,1583.4
resnet34,cifar100,SGDM+WD,128,0.1,0.005095,0.9,100,cosine,42,linear_up,e12_matched,1974.55,77.57,77.56,0.110704939379692,98.948,0.8737245260238647,0,100,1605.8
resnet34,cifar100,SGDM+WD,128,0.1,0.0008713,0.9,100,cosine,42,iso_product,e12_matched,1974.55,77.71,77.71,0.2250359755325317,97.442,0.895859286403656,0,100,1570.9
resnet34,cifar100,SGDM+WD,128,0.1,0.006794,0.9,100,cosine,42,linear_up,e12_matched,1974.55,77.3,77.21,0.1955471655273437,97.466,0.8860776782035827,0,100,1574.7
resnet34,cifar100,SGDM+WD,128,0.1,0.001162,0.9,100,cosine,42,iso_product,e12_matched,1974.55,77.5,77.5,0.388696545419693,93.236,0.873762952041626,0,100,1570.5
resnet34,cifar100,SGDM+WD,128,0.1,0.002834,0.9,100,cosine,42,linear,e12_matched,1974.55,74.08,74.0,0.023149486016035,99.616,1.142698378944397,0,100,1608.1
resnet34,cifar100,SGDM+WD,128,0.1,0.001452,0.9,100,cosine,42,iso_product,e12_matched,1974.55,75.19,75.19,0.5174596730422973,90.976,0.977203385925293,0,100,1417.4
resnet34,cifar100,SGDM+WD,128,0.1,0.008492,0.9,100,cosine,42,linear_up,e12_matched,1974.55,74.95,74.95,0.3870435501861572,91.86,0.91568115234375,0,100,1465.7
resnet34,cifar100,SGDM+WD,128,0.1,0.003543,0.9,100,cosine,42,linear,e12_matched,1974.55,72.8,72.51,0.0481286012363433,99.064,1.1633708793640136,0,100,1460.1
resnet34,cifar100,SGDM+WD,128,0.1,0.01019,0.9,100,cosine,42,linear_up,e12_matched,1974.55,74.62,74.62,0.528015820350647,88.454,0.95345946893692,0,100,1609.9
resnet34,cifar100,SGDM+WD,128,0.1,0.004252,0.9,100,cosine,42,linear,e12_matched,1974.55,71.54,71.54,0.0900256271076202,97.906,1.1807913182258607,0,100,1430.0
resnet34,cifar100,SGDM+WD,128,0.1,0.001743,0.9,100,cosine,42,iso_product,e12_matched,1974.55,72.65,72.6,0.7444334866333008,84.66,1.0715797939300538,0,100,1464.7
