setting,phase,wd_sched,lambda0,budget_c,best_acc,diverged,exp,src
resnet18/cifar100,SGD,linear_up,0.0001,0.005887939905468487,73.46,0,e11_raise,e11
resnet18/cifar100,SGD,linear_up,0.0005,0.029439699527342444,74.0,0,e11_raise,e11
resnet18/cifar100,SGD,linear_up,0.0006773,0.03987901697973806,74.09,0,e11_matched,e11
resnet18/cifar100,SGD,linear_up,0.001,0.05887939905468489,74.36,0,e11_raise,e11
resnet18/cifar100,SGD,linear_up,0.002,0.11775879810936977,75.32,0,e11_raise,e11
resnet18/cifar100,SGD,linear_up,0.002032,0.11964293887911964,75.32,0,e11_matched,e11
resnet18/cifar100,SGD,linear_up,0.003048,0.17946440831867946,75.69,0,e11_matched,e11
resnet18/cifar100,SGD,linear_up,0.004064,0.23928587775823928,75.94,0,e11_matched,e11
resnet18/cifar100,SGD,linear_up,0.005,0.2943969952734243,76.46,0,e11_raise,e11
resnet18/cifar100,SGD,linear_up,0.00508,0.2991073471977991,76.22,0,e11_matched,e11
resnet18/cifar100,SGD,linear_up,0.006096,0.3589288166373589,76.98,0,e11_matched,e11
resnet18/cifar100,SGD,linear_up,0.008128,0.47857175551647857,77.53,0,e11_matched,e11
resnet18/cifar100,SGD,linear_up,0.01,0.5887939905468486,77.6,0,e11_raise,e11
resnet18/cifar100,SGD,linear_up,0.01219,0.7177398744766084,77.91,0,e11_matched,e11
resnet18/cifar100,SGD,linear_up,0.01829,1.076904208710186,77.83,0,e11_matched,e11
resnet18/cifar100,SGD,linear_up,0.02,1.1775879810936971,77.94,0,e11_raise,e11
resnet18/cifar100,SGD,linear_up,0.03048,1.794644083186795,78.08,0,e12_ms,e12
resnet18/cifar100,SGD,linear_up,0.03048,1.794644083186795,78.08,0,e11_matched,e11
resnet18/cifar100,SGD,linear_up,0.05,2.9439699527342422,76.32,0,e11_raise,e11
resnet18/cifar100,SGD,linear_up,0.0508,2.9910734719779906,76.59,0,e11_matched,e11
resnet18/cifar100,SGD,linear_up,0.08128,4.785717555164785,59.5,0,e11_matched,e11
resnet18/cifar100,SGD,linear_up,0.1219,7.177398744766082,40.49,0,e11_matched,e11
resnet18/cifar100,SGDM,fixed,5.982e-05,0.09969999999999993,73.01,0,e5b,e11
resnet18/cifar100,SGDM,fixed,9.727e-05,0.16211666666666658,72.42,0,e5b,e11
resnet18/cifar100,SGDM,fixed,0.0001,0.16666666666666663,74.83,0,e1_prelim,e11
resnet18/cifar100,SGDM,fixed,0.0001994,0.3323333333333331,74.62,0,e5b,e11
resnet18/cifar100,SGDM,fixed,0.0002,0.33333333333333326,75.56,0,e1_fine,e11
resnet18/cifar100,SGDM,fixed,0.0003,0.5,76.46,0,e6b,e11
resnet18/cifar100,SGDM,fixed,0.0003242,0.5403333333333331,76.17,0,e5b,e11
resnet18/cifar100,SGDM,fixed,0.0004,0.6666666666666665,75.76,0,e1_rescue,e11
resnet18/cifar100,SGDM,fixed,0.0005,0.8333333333333326,76.73,0,e1_prelim,e11
resnet18/cifar100,SGDM,fixed,0.0005982,0.9969999999999992,76.72,0,e8_e4_baseline,e11
resnet18/cifar100,SGDM,fixed,0.0006,1.0,77.45,0,e1_rescue,e11
resnet18/cifar100,SGDM,fixed,0.0007499999999999,1.249999999999833,76.68,0,e2b,e11
resnet18/cifar100,SGDM,fixed,0.0008,1.333333333333333,77.41,0,e1_rescue,e11
